Álbum,Música,Duração,Popularidade,Visualizações,Letra,Prêmios
Night Dreamer Direct-to-disc Sessions,Saravá,332.363,33,684," Veja como essa nega anda Descendo a ladeira do Sapoti( Curti, curti, curti, curti, curti) No salto, num charme de preta Mas que beleza essa nega Veja como essa nega anda Descendo a ladeira do Sapoti( Curti, curti, curti, curti, curti) No salto, num charme de preta Mas que beleza essa nega Ela que tem um axé bom É ela que tem um axé bom Toda no tom de marrom Adora um som de tambor Nega, por favor, tô te convidando Saravá Saravá! Sarah, vá pra festa Saravá! Sarah, vá pra festa Sarah quando ama Parece uma dança Sarah quando canta Com certeza está amando Foi o tambor que ensinou a cantar Foi o tambor que ensinou a viver Foi o tambor que ensinou a dançar Foi o tambor que ensinou a viver Foi o tambor que ensinou a cantar Foi o tambor que ensinou a viver Foi o tambor que ensinou a dançar Foi o tambor que ensinou a viver Saravá! Sarah, vá pra festa Saravá! Sarah, vá pra festa Veja como essa nega anda Descendo a ladeira do Sapoti( Curti, curti, curti, curti, curti) No salto, no charme de preta Mas que beleza essa nega Veja como essa nega anda Descendo a ladeira do Sapoti( Curti, curti, curti, curti, curti) No salto, no charme de preta Mas que beleza essa nega Que beleza, que beleza Ela que tem um axé bom É ela que tem um axé bom Toda no tom de marrom Adora um som de tambor Nega, por favor, tô te convidando Saravá Saravá! Sarah, vá pra festa Saravá! Sarah, vá pra festa Sarah quando ama Parece uma dança Sarah quando canta Com certeza está amando, oh, oh Foi o tambor que ensinou a cantar Foi o tambor que ensinou a viver Foi o tambor que ensinou a dançar Foi o tambor que ensinou a viver Foi o tambor que ensinou a cantar Foi o tambor que ensinou a viver Foi o tambor que ensinou a dançar Foi o tambor que ensinou a viver Foi o tambor que ensinou a cantar Foi o tambor que ensinou a viver Foi o tambor que ensinou a dançar Foi o tambor que ensinou a viver Foi o tambor que ensinou a cantar Foi o tambor que ensinou a viver Foi o tambor que ensinou a dançar Foi o tambor que ensinou a viver Foi o tambor que ensinou a cantar Foi o tambor que ensinou a viver Foi o tambor que ensinou a dançar Foi o tambor que ensinou a viver Foi o tambor que ensinou a cantar Foi o tambor que ensinou a viver Foi o tambor que ensinou a dançar Foi o tambor ",0
Night Dreamer Direct-to-disc Sessions,A Força,395.823,29,384," E vem do céu a força de Obatalá E tem justiça na força de Xangô E vem do mar a força de Iemanjá E vem você com a força do nosso amor E vem do céu a força de Obatalá E tem justiça na força de Xangô E vem do mar a força de Iemanjá E vem você com a força do nosso amor Só o amor é o que faz curar a dor É o que faz valer viver esse dia a dia Não tem fim e sempre vai ser assim Esse nosso amor me traz tanta alegria Só o amor é o que faz curar a dor É o que faz valer viver esse dia a dia Não tem fim e sempre vai ser assim Esse amor que só traz paz e tanta alegria E vem do céu a força de Obatalá E tem justiça na força de Xangô E vem do mar a força de Iemanjá E vem você com a força do nosso amor E vem do céu a força de Obatalá E tem justiça na força de Xangô E vem do mar a força de Iemanjá E vem você com a força do nosso amor E só o amor é o que faz curar a dor É o que faz valer viver esse dia a dia Não tem fim e sempre vai ser assim Esse amor que só traz paz e tanta alegria E só o amor é o que faz curar a dor É o que faz valer viver esse dia a dia Não tem fim e sempre vai ser assim Esse amor que só traz paz, tanta alegria ",0
Night Dreamer Direct-to-disc Sessions,Meu Brasil,273.056,28,848," Meu Brasil Mora dentro do meu violão É a força da sua canção É o batuque do seu candomblé Meu Brasil É mistura de raça e de cor Soberano e não perde o valor É o samba com a bola no pé Meu Brasil Se eu tiver que sair por aí Vou morrer de saudade de ti Mas eu volto com a graça de Deus Com orgulho de ser um Tupi-guarani Descendente também de Zumbi Brasileiro no mundo sou eu Meu Brasil Dona Ivone, Anastácia e Pelé Marielle é a voz da mulher Bossa Nova na voz de João Natureza de Fauna e de Flor E não cabe em mim esse amor Meu Brasil de Garrincha e Pelé Meu Brasil Mora dentro do meu violão É a força da sua canção É o batuque do seu candomblé Meu Brasil É mistura de raça e de cor Soberano e não perde o valor É o samba com a bola no pé Meu Brasil Se eu tiver que sair por aí Vou morrer de saudade de ti Mas eu volto com a graça de Deus Com orgulho de ser um Tupi-guarani Descendente também de Zumbi Brasileiro no mundo sou eu Meu Brasil Dona Ivone, Anastácia e Pelé Marielle é a voz da mulher Bossa Nova na voz de João Natureza de Fauna e de Flor E não cabe em mim esse amor Meu Brasil de Garrincha e Pelé Meu Brasil Mora dentro do meu violão É a força da sua canção É o batuque do seu candomblé Meu Brasil É mistura de raça e de cor Soberano e não perde o valor É o samba com a bola no pé Meu Brasil Se eu tiver que sair por aí Vou morrer de saudade de ti Mas eu volto com a graça de Deus E com orgulho de ser um Tupi-guarani Descendente também de Zumbi Brasileiro no mundo sou eu Meu Brasil Dona Ivone, Anastácia e Pelé Marielle é a voz da mulher Bossa Nova na voz de João Natureza de Fauna e de Flor E não cabe em mim esse amor Meu Brasil de Garrincha e Pelé Meu Brasil Mora dentro do meu violão É a força da sua canção É o batuque do seu candomblé Meu Brasil É mistura de raça e de cor Soberano e não perde o valor É o samba com a bola no pé Meu Brasil Se eu tiver que sair por aí Vou morrer de saudade de ti Mas eu volto com a graça de Deus E com orgulho de ser um Tupi-guarani Descendente também de Zumbi Brasileiro no mundo sou eu Meu Brasil Dona Ivone, Anastácia e Pelé Marielle é a voz da mulher Bossa Nova na voz de João Natureza de Fauna e de Flor E não cabe em mim esse amor Meu Brasil de Garrincha e Pelé Natureza de Fauna e de Flor E não cabe em mim esse amor Meu Brasil de Garrincha e Pelé ",0
Night Dreamer Direct-to-disc Sessions,Pra Você Amigo,273.852,32,958," Olha quanto tempo faz Que a gente se conhece, irmão Tanta coisa que ficou pra trás Muita luta e superação Quando eu mais precisei Foi você quem me estendeu a mão Amigo você é um rei E tem a minha gratidão Mesmo longe você tá tão perto A distância não vai separar O errado não pode ser certo E é por isso que eu vou te contar Qualquer coisa que você quiser Tudo que necessitar Amigo, meu irmão de fé Comigo cê pode contar Pra você, amigo Pra você, irmão Pra você, amigo Pra você, irmão Olha quanto tempo faz Que a gente se conhece, irmão Quanta coisa que ficou pra trás Muita luta e superação Quando eu mais precisei Foi você quem me estendeu a mão Amigo você é um rei E tem a minha gratidão Mesmo longe você tá tão perto A distância não vai separar O errado não pode ser certo E é por isso que eu vou te contar Qualquer coisa que você quiser Tudo que necessitar Amigo, meu irmão de fé Comigo cê pode contar Pra você, amigo Pra você, irmão( Você irmão) Pra você, amigo, meu amigo É pra você, irmão Olha quanto tempo faz Que a gente se conhece, irmão Quanta coisa que ficou pra trás Muita luta e superação Quando eu mais precisei Foi você quem me estendeu a mão Amigo você é um rei E tem a minha gratidão Mesmo longe você tá tão perto A distância não vai separar O errado não pode ser certo E é por isso que eu vou te contar Qualquer coisa que você quiser Tudo que necessitar Amigo, meu irmão de fé Comigo cê pode contar Pra você, amigo Pra você, irmão Pra você, amigo Pra você, irmão É pra você, amigo Pra você, meu irmão( Você irmão) Pra você, amigo, meu amigo É pra você, irmão ",0
Night Dreamer Direct-to-disc Sessions,Caminhão,292.64,24,199," Veja meu bem Quero o melhor pra você E o que importa agora, amor É deixar acontecer Dê uma chance pra si mesmo e vem curtir esse momento No meu peito o sentimento vem de um jeito Que eu só penso em dar ele pra você Você vem que eu te aceito Porque eu sou um caminhão Vem agora, vem sem medo Minha cabeça é a cabine, e a caçamba o coração Pra te levar pra passear Vamos sair, vamos zoar por aí E perturbar os botequins Comemorar o nosso jardim Vou te falar, já te pedi Vamos sair, vamos zoar por aí Veja meu bem Quero o melhor pra você E o que importa agora, amor É deixar acontecer Dê uma chance pra si mesmo e vem curtir esse momento No meu peito o sentimento vem de um jeito Que eu só penso em dar ele pra você Você vem que eu te aceito Porque eu sou um caminhão Vem agora, vem sem medo Minha cabeça é a cabine, e a caçamba o coração Pra te levar pra passear Vamos sair, vamos zoar por aí E perturbar os botequins Comemorar o nosso jardim Vou te falar, já te pedi Vamos sair, vamos zuar por aí ",0
Night Dreamer Direct-to-disc Sessions,Vem Me Salvar,190.845,25,196, Fico só sem ninguém Se você não vem Posso até ficar bem Mas com um porém Se você só minha for Minha flor Uma flor só minha Se pensar me chamar Você me chamou No primeiro sinal Quando vê já tô Se você só minha for Minha flor Uma flor só minha Pôr do Sol no meu coração Só você quem me faz sonhar Vem me salvar da solidão Vem me salvar Pôr do Sol no meu coração Só você que me faz sonhar Vem me salvar da solidão Vem me salvar Vem me salvar Vem me salvar Fico só sem ninguém Se você não vem Posso até ficar bem Mas com um porém Se você só minha for Minha flor Uma flor só minha Se você me chamar Você me chamou No primeiro sinal Quando vê já tô Se você só minha for Minha flor Uma flor só minha Pôr do Sol no meu coração Só você quem me faz sonhar Vem me salvar da solidão Vem me salvar Pôr do Sol no meu coração Só você que me faz sonhar Vem me salvar da solidão Vem me salvar Vem me salvar Vem me salvar Vem me salvar ,0
Night Dreamer Direct-to-disc Sessions,Onda Carioca,205.903,24,90," Qual o nome dessa música Rogê? Essa? Onda Carioca É moleque, Onda Carioca, ó Então vamo né Vamo, vamo sapecar essa Divirtam-se aí rapaziada, yeah Uh-ham Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Onda de bater Onda de dropar Onda de surfar Onda carioca atravessa o mar Onda liberté E égalité E fraternité Onda carioca atravessa o mar Ça va? S'ils vous plait, écoutez mon amour Salut, mes amies très jolie, saravá Merci, je m'appel Rogê 'tamo aí Saravá onda que bate aqui, bate lá Saravá écoutez, écoutez mon amour Salut, mes amies très jolie, saravá Merci, je m'appel Rogê 'tamo aí Saravá onda que bate aqui, bate lá Onda Carioca Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Onda Carioca Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Onda de bater Onda de dropar Onda de surfar Onda carioca atravessa o mar Onda liberté E égalité E fraternité Onda carioca atravessa o mar Ça va? S'ils vous plait, écoutez mon amour Salut, mes amies très jolie, saravá Merci, je m'appel Rogê 'tamo aí Saravá onda que bate aqui, bate lá Ça va? S'ils vous plait, écoutez mon amour Salut, mes amies très jolie, saravá Merci, je m'appel Rogê 'tamo aí Saravá onda que bate aqui, bate lá Ça va? S'ils vous plait, écoutez mon amour Salut, mes amies très jolie, saravá Merci, je m'appel Rogê Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Onda Carioca Ê ê ê ê ah Ê ê ê ê ah Ê ê ê ê ah Saravá ( Legal hein) ",0
Músicas Para Churrasco (vol.2),Ela É Bipolar,298.826,42,25701," Eu gosto tanto dessa menina Tanto que você nem imagina Eu não sei o que ela fez com o meu coração Eu fiquei um tempão com ela Me mudei até da favela Minha vida virou uma confusão O nosso amor que era tão bonito De repente ficou esquisito Eu que fiz das tripas coração Tento ser compreensivo Faço tudo que é possível Mais no fundo eu não entendo não Não, não Tem dia que tá bem Tem dia que não tá legal Tem dia que tá zen Tem dia que tá baixo astral Tem dia que tá bem Tem dia que não tá legal Tem dia que tá zen Tem dia que tá baixo astral Ela é bipolar( Ela é bipolar) ela é bipolar( Ela é bipolar) ela é bipolar (ela é bipolar) Bipolar é um transtorno mental Maníaco depressivo Que causa muita infelicidade Aos portadores dessa enfermidade Apesar dessa doença O tratamento é muito simples Mas é legal ficar ligado Porque os sintomas são diversos Tem dia que tá bem Tem dia que não tá legal Tem dia que tá zen Tem dia que tá baixo astral Tem dia que tá bem Tem dia que não tá legal Tem dia que tá zen Tem dia que tá baixo astral Ela é bipolar( Ela é bipolar) ela é bipolar( Ela é bipolar) ela é bipolar (ela é bipolar) Ela é bipolar( Ela é bipolar) ela é bipolar( Ela é bipolar) ela é bipolar (ela é bipolar) Bipolar é um transtorno mental Maníaco depressivo Que causa muita infelicidade Aos portadores dessa enfermidade Apesar dessa doença O tratamento é muito simples Mas é legal ficar ligado Porque os sintomas são diversos Tem dia que tá bem Tem dia que não tá legal Tem dia que tá zen Tem dia que tá baixo astral Tem dia que tá bem Tem dia que não tá legal Tem dia que tá zen Tem dia que tá baixo astral Ela é bipolar( Ela é bipolar) ela é bipolar( Ela é bipolar) ela é bipolar (ela é bipolar) Ela é bipolar( Ela é bipolar) ela é bipolar( Ela é bipolar) ela é bipolar (ela é bipolar) Ela é bipolar( Ela é bipolar) ela é bipolar (ela é bipolar)( Ela é bipolar) ",0
Músicas Para Churrasco (vol.2),Na Verdade Não Tá,175.693,41,6988," Ela não larga mais Aquele telefone Já não quer mais Conversar ao vivo com ninguém Mergulha de cabeça Pela tela e some Me diz pra que tanto selfie Eu hein? Pode o mundo em volta estar caindo Que ela não vai se abalar Você fala, ela finge estar ouvindo Mas na verdade não tá O samba pegando fogo O churrasco tá bombando Ela pensa estar curtindo Mas na verdade não tá Todo mundo vendo o jogo Tá torcendo, tá sambando Ela pensa estar curtindo Mas na verdade não tá ",0
Músicas Para Churrasco (vol.2),Faixa de Contorno,180.626,34,4569," Cera quente e cera fria Cera verde, cera de mel Vai passando na canela, panturrilha Na perna toda até chegar lá na virilha E o namorado gosta Faixa de contorno A noite vai ter festa Faz a minha perna Tem a laser, fio egípcio Tem à luz, olha a gilete E tá doendo, tá ardendo, tá terrível Mas vale a pena, vai ficar irresistível Sobe mais um pouco Braço e axilas Pra levantar o rosto Buço e sobrancelha Olha ela aí! Que coisa linda de se vê E olha lá E tá botando pra quebrar Só na pele de bebê E tá sabendo se cuidar ",0
