Álbum,Música,Duração
Músicas Para Churrasco (vol.1),Dia de Comemorar,185.48
Músicas Para Churrasco (vol.1),A Doida,184.626
Músicas Para Churrasco (vol.2),Faixa de Contorno,180.626
Músicas Para Churrasco (vol.2),Na Verdade Não Tá,175.693
The Life Aquatic Studio Sessions,When I Live My Dream,173.613
The Life Aquatic Studio Sessions,Rebel Rebel,165.466
MTV Apresenta Seu Jorge,Mania de Peitão,157.466
The Life Aquatic Studio Sessions,Team Zissou,152.2
Cru,Eu Sou Favela,147.24
América Brasil,Eterna Busca,139.026
