Álbum,Música,Visualizações
América Brasil (Ao Vivo),Seu Olhar,1610401
América Brasil (Ao Vivo),Burguesinha,1473017
América Brasil (Ao Vivo),Carolina,1211328
América Brasil (Ao Vivo),Mina do Condomínio,1168800
América Brasil (Ao Vivo),São Gonça,695557
América Brasil (Ao Vivo),Pessoal particular,419439
América Brasil (Ao Vivo),É Isso Aí (Blower's Daughter),254172
América Brasil (Ao Vivo),Cuidar de Mim,251114
América Brasil (Ao Vivo),Trabalhador,155729
América Brasil (Ao Vivo),América do Norte,39283
América Brasil (Ao Vivo),Mangueira,25696
América Brasil (Ao Vivo),Tudo Que Você Queria Ser,20412
