Álbum,Música,Visualizações
Ana e Jorge,Carolina,1211328
Ana e Jorge,São Gonça,695557
Ana e Jorge,É Isso Aí,254172
Ana e Jorge,Zé do Caroço,220038
Ana e Jorge,Problema Social,178482
Ana e Jorge,Pra Rua Me Levar,98050
Ana e Jorge,Chatterton,56651
Ana e Jorge,Brasil Corrupção,38360
Ana e Jorge,Mais Que Isso,32429
Ana e Jorge,Vestido Estampado,21719
Ana e Jorge,Comparsas / O Pequinês e o Pit Bull,19463
Ana e Jorge,Tanta Saudade,502
Ana e Jorge,Beatriz,312
Ana e Jorge,Garganta,274
Ana e Jorge,O Beat da Beata,244
