Álbum,Música,Visualizações
MTV Apresenta Seu Jorge,Carolina,1211328
MTV Apresenta Seu Jorge,São Gonça,695557
MTV Apresenta Seu Jorge,A Carne,76228
MTV Apresenta Seu Jorge,Mania de Peitão,68944
MTV Apresenta Seu Jorge,Te Queria,59045
MTV Apresenta Seu Jorge,A Massa,52117
MTV Apresenta Seu Jorge,Doidinha,37807
MTV Apresenta Seu Jorge,Chega No Swingue,34290
MTV Apresenta Seu Jorge,Hagua,33291
MTV Apresenta Seu Jorge,"Samba Que Nem Rita, À Dora",25753
MTV Apresenta Seu Jorge,De Alegria Raiou o Dia,21207
MTV Apresenta Seu Jorge,O Samba Taí,16585
MTV Apresenta Seu Jorge,Funk Baby,10731
